Date,Open,High,Low,Close,Volume,OpenInt
2017-05-04,28.738,28.777,28.522,28.67,19957627,0
2017-05-05,28.6,28.708,28.58,28.689,17239870,0
2017-05-08,28.63,28.713,28.473,28.542,22022143,0
2017-05-09,28.552,28.562,28.336,28.404,24264844,0
2017-05-10,28.394,28.404,28.08,28.178,26526829,0
2017-05-11,28.159,28.365,27.982,28.345,28529935,0
2017-05-12,27.845,27.933,27.344,27.757,69648329,0
2017-05-15,27.56,27.727,27.462,27.668,40246184,0
2017-05-16,27.737,27.766,27.491,27.53,29991726,0
2017-05-17,27.314,27.364,26.912,26.912,53395184,0
2017-05-18,26.765,27.148,26.607,26.98,49343110,0
2017-05-19,27.05,27.653,27,27.54,49302185,0
2017-05-22,27.717,27.785,27.55,27.668,28294820,0
2017-05-23,27.697,27.766,27.599,27.766,24281847,0
2017-05-24,27.805,27.982,27.118,27.324,54830298,0
2017-05-25,27.285,27.393,26.922,26.99,39973659,0
2017-05-26,26.961,27.05,26.794,26.951,31142113,0
2017-05-30,26.814,26.951,26.667,26.863,37108822,0
2017-05-31,26.833,26.936,26.696,26.882,36291288,0
2017-06-01,27.01,27.37,27,27.216,32975317,0
2017-06-02,27.364,27.432,27.118,27.373,37510277,0
2017-06-05,27.393,27.56,27.304,27.472,44262779,0
2017-06-06,27.472,27.53,27.304,27.422,34332238,0
2017-06-07,27.442,27.452,26.902,27.176,44325397,0
2017-06-08,27.158,27.314,27.03,27.088,41525596,0
2017-06-09,27.128,27.462,27.088,27.432,25817004,0
